PaymentID,BookingID,PaymentType,PaymentDate,PaymentAmount
464,601,Credit Card,2024-12-08,2875.71
465,602,UPI,2025-04-30,87779.0
466,604,Net Banking,2025-11-10,2509.76
467,605,Debit Card,2024-04-25,2024.59
468,606,Net Banking,2024-12-31,20684.52
469,607,Wallet,2026-06-17,17264.0
470,609,UPI,2025-08-16,3200.5
471,610,Debit Card,2024-10-22,48927.12
472,611,Credit Card,2024-11-06,19042.95
473,612,Credit Card,2024-05-21,4021.26
474,613,UPI,2025-03-18,8729.48
475,614,Wallet,2025-03-08,11040.45
476,616,Wallet,2024-04-08,180272.16
477,618,Debit Card,2024-01-28,4868.7
478,619,UPI,2026-02-12,79008.96
479,620,Net Banking,2026-04-30,6896.06
480,621,EMI,2026-01-27,92880.72
481,622,Debit Card,2026-04-04,18266.84
482,624,EMI,2024-07-07,18508.12
483,625,Net Banking,2025-06-07,87683.4
484,626,Credit Card,2026-04-13,65499.24
485,628,Net Banking,2026-06-22,35783.56
486,629,EMI,2025-06-09,56239.68
487,631,Wallet,2025-08-12,12020.94
488,632,Debit Card,2024-03-10,4242.78
489,633,EMI,2026-03-01,2326.16
490,634,UPI,2024-03-04,2509.76
491,635,Debit Card,2024-06-27,5929.84
492,636,Debit Card,2024-08-18,141638.22
493,637,UPI,2024-07-27,7043.52
494,638,Wallet,2025-05-23,117967.3
495,640,UPI,2024-03-21,16028.55
496,641,Net Banking,2025-02-03,1262.18
497,642,Wallet,2025-02-12,79008.96
498,644,EMI,2024-05-22,12440.46
499,645,UPI,2025-05-20,9436.21
500,646,Credit Card,2025-05-05,1410.88
501,647,Credit Card,2025-05-04,6988.39
502,648,EMI,2025-07-19,16407.56
503,649,Debit Card,2024-12-26,59110.9
504,650,UPI,2026-06-13,35823.6
505,652,EMI,2025-03-30,5551.14
506,654,EMI,2024-08-24,19656.03
507,656,UPI,2026-04-27,71567.12
508,657,Credit Card,2025-11-06,10159.14
509,658,Wallet,2026-07-20,13432.98
510,659,EMI,2026-03-12,270408.24
511,660,UPI,2025-03-10,18636.16
512,661,Credit Card,2024-05-15,8207.01
513,662,Credit Card,2025-01-05,1309.2
514,663,UPI,2024-01-18,125162.7
515,665,Debit Card,2024-05-10,10664.2
516,666,Net Banking,2024-02-12,38124.18
517,667,Wallet,2025-07-07,8669.41
518,668,Net Banking,2026-06-15,20515.05
519,669,Wallet,2024-06-13,27077.42
520,670,UPI,2024-08-08,16153.65
521,671,Wallet,2025-08-12,846.48
522,672,Debit Card,2024-10-27,31676.73
523,673,Net Banking,2025-03-31,8729.48
524,675,Wallet,2024-12-15,21371.32
525,677,UPI,2025-12-29,16177.92
526,679,Credit Card,2025-08-28,9720.24
527,680,EMI,2026-01-28,6101.08
528,681,EMI,2024-03-26,77787.42
529,682,Credit Card,2026-03-02,45899.07
530,683,Credit Card,2025-01-28,9920.33
531,684,Net Banking,2025-03-16,16649.64
532,685,Net Banking,2026-06-25,4790.75
533,686,Debit Card,2024-05-24,44481.39
534,687,Wallet,2024-01-07,49305.9
535,689,Debit Card,2024-12-28,7670.82
536,690,Wallet,2025-12-24,15593.46
537,691,EMI,2024-09-28,89363.45
538,692,Debit Card,2024-01-04,325864.44
539,693,UPI,2026-06-17,10991.16
540,694,UPI,2025-05-07,53735.4
541,695,EMI,2024-06-29,4572.54
542,697,Net Banking,2024-08-08,61920.48
543,698,Net Banking,2024-10-01,9997.45
544,699,Wallet,2025-07-02,2667.37
545,701,Wallet,2024-03-06,31614.7
546,702,Net Banking,2026-05-30,10467.42
547,705,Credit Card,2026-06-01,71218.4
548,706,Wallet,2024-07-17,4099.2
549,707,UPI,2025-04-27,38893.71
550,709,UPI,2025-04-08,9495.76
551,710,Wallet,2024-04-07,11542.72
552,711,Net Banking,2026-02-24,16649.64
553,712,Debit Card,2025-07-12,6304.16
554,713,Debit Card,2024-04-17,4668.33
555,714,Wallet,2025-05-22,207547.44
556,715,Wallet,2024-04-30,2555.67
557,716,UPI,2025-12-02,167637.6
558,717,Wallet,2024-01-06,6238.22
559,718,Debit Card,2025-10-13,10386.12
560,719,Net Banking,2025-08-21,10451.16
561,720,Debit Card,2025-08-29,3571.47
562,721,EMI,2024-12-04,8347.85
563,722,Credit Card,2024-06-21,7632.44
564,723,UPI,2026-07-06,42144.8
565,725,Wallet,2024-06-20,9896.92
566,726,UPI,2025-07-25,42721.77
567,727,EMI,2025-09-23,5741.6
568,728,UPI,2025-09-13,89735.04
569,730,EMI,2026-04-06,8239.0
570,731,Debit Card,2026-05-28,8347.85
571,732,UPI,2026-07-16,17224.8
572,733,Debit Card,2024-07-16,2679.55
573,734,Wallet,2025-07-28,12659.62
574,735,Debit Card,2024-11-21,2974.96
575,736,Debit Card,2026-02-04,39674.16
576,738,Debit Card,2025-04-06,39989.8
577,739,Credit Card,2024-12-22,18922.59
578,740,Wallet,2025-11-05,142992.24
579,741,Net Banking,2025-10-06,65526.44
580,742,UPI,2025-07-13,89735.04
581,744,Net Banking,2025-02-14,13792.12
582,745,Credit Card,2024-07-22,42721.77
583,746,Debit Card,2025-04-14,219877.02
584,747,Credit Card,2025-03-23,13881.09
585,750,EMI,2025-09-03,66043.0
586,751,Net Banking,2024-08-15,1468.53
587,752,UPI,2024-05-21,40273.2
588,753,Credit Card,2024-06-03,60443.2
589,754,EMI,2025-04-21,2484.54
590,755,Credit Card,2024-11-22,85473.0
591,756,EMI,2025-03-08,90664.8
592,758,EMI,2024-06-02,7932.59
593,759,UPI,2025-04-20,15332.92
594,760,Credit Card,2025-07-09,64711.68
595,761,Debit Card,2024-12-31,4715.68
596,763,Wallet,2025-12-06,21580.0
597,764,UPI,2025-01-26,20688.18
598,765,EMI,2025-09-22,8293.64
599,766,Wallet,2026-02-03,62581.35
600,767,EMI,2024-01-06,33989.96
601,768,Credit Card,2024-08-14,5454.42
602,769,Wallet,2025-08-25,31569.2
603,770,UPI,2024-08-03,2656.86
604,771,Credit Card,2025-10-08,2078.1
605,772,EMI,2025-01-13,10684.76
606,773,UPI,2025-07-23,13792.12
607,774,Wallet,2024-10-23,10616.44
608,775,UPI,2025-10-07,263337.0
609,776,UPI,2025-02-13,16407.56
610,777,Wallet,2024-07-13,69182.48
611,778,EMI,2025-09-16,178726.9
612,779,Debit Card,2025-06-07,151620.96
613,780,Debit Card,2024-11-26,12082.05
614,781,Debit Card,2025-04-17,10414.35
615,783,Credit Card,2026-03-12,19574.85
616,785,Wallet,2025-03-14,47252.76
617,786,UPI,2025-02-27,7904.4
618,787,Net Banking,2026-02-09,41530.88
619,788,Wallet,2024-05-31,32842.68
620,789,Debit Card,2025-05-01,8013.96
621,790,Net Banking,2025-08-20,59823.36
622,791,EMI,2025-02-19,10390.49
623,792,UPI,2025-10-25,19072.38
624,793,Net Banking,2024-12-16,21895.12
625,795,UPI,2026-07-08,16510.75
626,796,Debit Card,2026-06-12,126230.58
627,797,Wallet,2024-08-21,40924.89
628,798,Net Banking,2025-05-03,14437.21
629,799,Wallet,2024-04-12,146584.68
630,800,Wallet,2026-01-07,39945.24
631,801,Net Banking,2025-10-08,35130.57
632,802,UPI,2024-12-15,141638.22
633,803,UPI,2025-05-14,14289.05
634,804,Credit Card,2024-12-17,1262.18
635,805,Credit Card,2025-05-28,10297.88
636,806,Debit Card,2025-11-19,11542.72
637,807,UPI,2026-03-09,2367.57
638,809,Net Banking,2026-02-19,3716.93
639,810,Net Banking,2024-01-20,7422.69
640,811,Net Banking,2026-01-26,38587.84
641,812,Credit Card,2025-12-05,72559.76
642,813,Debit Card,2025-04-28,71218.4
643,814,EMI,2025-06-27,5892.65
644,815,Debit Card,2026-07-15,52561.2
645,817,Credit Card,2024-03-02,29029.92
646,818,Credit Card,2025-10-11,278607.78
647,820,UPI,2025-10-28,32625.18
648,822,Net Banking,2024-01-20,16994.98
649,823,EMI,2025-06-29,3328.8
650,824,Credit Card,2024-01-27,6953.88
651,825,Debit Card,2024-07-25,61174.38
652,826,Credit Card,2024-05-20,4558.36
653,828,Credit Card,2026-01-11,10218.24
654,829,Credit Card,2024-04-02,10593.06
655,831,Debit Card,2026-01-18,27795.82
656,832,Debit Card,2025-09-02,12741.36
657,833,UPI,2026-03-16,56239.68
658,834,Credit Card,2024-01-30,33698.08
659,835,Credit Card,2025-07-06,5949.3
